State,year,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers
Idaho,2017,2390,28855,8.28279327672847
Illinois,2017,71250,283485,25.133604952642997
Indiana,2017,17830,121450,14.680938657883901
Iowa,2017,6070,60435,10.043848763133946
Kansas,2017,7260,64900,11.186440677966102
Kentucky,2017,4600,57930,7.940617987225962
Louisiana,2017,3795,53625,7.076923076923077
Maine,2017,1425,24285,5.867819641754169
Maryland,2017,61050,262365,23.269109827911496
Massachusetts,2017,72925,255910,28.496346371771324
Michigan,2017,49360,246495,20.024746952270835
Minnesota,2017,27345,159130,17.18406334443537
Mississippi,2017,1660,30085,5.517699850423799
Missouri,2017,12680,118290,10.719418378561162
Montana,2017,215,18575,1.1574697173620458
Nebraska,2017,4410,40705,10.834049871023216
Nevada,2017,6485,38305,16.92990471217857
New Hampshire,2017,5150,42935,11.994875975311517
New Jersey,2017,112640,258045,43.651301129647926
New Mexico,2017,4465,37435,11.927340723921462
New York,2017,103315,379935,27.192809296327002
North Carolina,2017,41560,222145,18.70850120416845
North Dakota,2017,2705,14895,18.16045652903659
Ohio,2017,36770,242230,15.179787804978739
Oklahoma,2017,4745,55850,8.495971351835273
Oregon,2017,20045,109245,18.348665842830336
Pennsylvania,2017,47060,278185,16.916799971242156
Rhode Island,2017,4185,24905,16.80385464766111
South Carolina,2017,8130,83730,9.709781440343964
South Dakota,2017,410,12100,3.3884297520661155
Tennessee,2017,12650,111185,11.377434006385753
Texas,2017,171790,623925,27.533758063869858
Utah,2017,8485,80975,10.478542760111145
Vermont,2017,1460,14720,9.918478260869565
Virginia,2017,76145,327250,23.268143621084796
Washington,2017,74615,260615,28.630355121539434
West Virginia,2017,1245,21615,5.759888965995836
Wisconsin,2017,16340,137905,11.84873644900475
Wyoming,2017,675,10430,6.471716203259828
Puerto Rico,2017,985,24810,3.970173317210802
United States,2018,1884125,7902990,23.840660307048346
Alabama,2018,6685,90105,7.41912213528661
Alaska,2018,1935,15950,12.13166144200627
Arizona,2018,30185,159685,18.902839966183425
Arkansas,2018,4475,35070,12.760193897918448
California,2018,468665,1141450,41.05874107494853
Colorado,2018,25595,206325,12.405185992972251
Connecticut,2018,26145,101100,25.86053412462908
Delaware,2018,5755,21755,26.453688807170767
District of Columbia,2018,8695,40260,21.597118728266267
Florida,2018,90490,364165,24.84862630950256
Georgia,2018,51920,234750,22.117145899893504
Hawaii,2018,4215,25500,16.52941176470588
Idaho,2018,4140,32450,12.75808936825886
Illinois,2018,74780,291180,25.681708908578887
Indiana,2018,18545,134275,13.811208341091044
Iowa,2018,6580,61145,10.761305094447625
Kansas,2018,9395,62265,15.088733638480686
Kentucky,2018,6915,71830,9.626896839760546
Louisiana,2018,5040,62980,8.00254048904414
Maine,2018,1010,26985,3.7428200852325366
Maryland,2018,61930,257370,24.062633562575282
Massachusetts,2018,80050,271495,29.48488922447927
Michigan,2018,53140,259295,20.49403189417459
Minnesota,2018,25335,166135,15.249646371926445
Mississippi,2018,1170,32845,3.5621860252702087
Missouri,2018,18295,131255,13.938516627937982
