State,year,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
New Mexico,1993,2752.0,36876,7.462848465126369
New York,1993,10974.0,537504,2.0416592248615824
North Carolina,1993,2745.0,168006,1.6338702189207528
North Dakota,1993,92.0,13049,0.7050348685723044
Ohio,1993,6398.0,259612,2.4644469439008985
Oklahoma,1993,533.0,65552,0.8130949475225776
Oregon,1993,774.0,69409,1.1151291619242463
Pennsylvania,1993,8278.0,281704,2.9385454235651602
Rhode Island,1993,484.0,23566,2.053806331155054
South Carolina,1993,713.0,76158,0.9362115601775257
South Dakota,1993,59.0,16105,0.3663458553244334
Tennessee,1993,1213.0,119568,1.014485481065168
Texas,1993,6966.0,443775,1.5697143822883217
Utah,1993,751.0,38631,1.94403458362455
Vermont,1993,343.0,13027,2.6329930145083287
Virginia,1993,2939.0,167688,1.7526597013501264
Washington,1993,5422.0,142500,3.804912280701754
West Virginia,1993,280.0,31881,0.8782660518804303
Wisconsin,1993,1852.0,120024,1.543024728387656
Wyoming,1993,63.0,13791,0.45681966499891236
Puerto Rico,1993,,37442,
United States,1995,183625.0,7342618,2.500811018631229
Alabama,1995,1681.0,95819,1.7543493461630781
Alaska,1995,163.0,25449,0.6404966796337773
Arizona,1995,1957.0,109906,1.7806125234291121
Arkansas,1995,330.0,54612,0.6042627993847506
California,1995,36036.0,911577,3.9531493225476293
Colorado,1995,2701.0,112708,2.39645810412748
Connecticut,1995,4311.0,123212,3.4988475148524496
Delaware,1995,1149.0,27721,4.14487211861044
District of Columbia,1995,3128.0,47094,6.642035078778613
Florida,1995,5223.0,346951,1.505399897968301
Georgia,1995,2112.0,203397,1.0383633976902313
Hawaii,1995,169.0,37763,0.4475280036014088
Idaho,1995,914.0,27762,3.2922700093653194
Illinois,1995,7483.0,364451,2.0532252621065656
Indiana,1995,3162.0,150404,2.1023377037844737
Iowa,1995,1391.0,73137,1.9019101138958394
Kansas,1995,764.0,65282,1.170307282252382
Kentucky,1995,594.0,91915,0.6462492520263287
Louisiana,1995,423.0,112876,0.37474751054254224
