State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-
Indiana,2012,838297.1,94620.0,8859.618473895582
Iowa,2012,613268.5,50950.0,12036.673209028459
Kansas,2012,231602.4,50930.0,4547.465148242685
Kentucky,2012,308087.2,51830.0,5944.18676442215
Louisiana,2012,313773.9,45920.0,6833.05531358885
Maine,2012,247753.3,17910.0,13833.23841429369
Maryland,2012,15597817.8,179550.0,86871.72263993317
Massachusetts,2012,6279277.9,229160.0,27401.282510036657
Michigan,2012,2206422.4,198610.0,11109.321786415589
Minnesota,2012,961092.2,131690.0,7298.14108892095
Mississippi,2012,542610.4,23640.0,22953.062605752963
Missouri,2012,1122802.9,109650.0,10239.880528955768
Montana,2012,190191.2,15360.0,12382.239583333334
Nebraska,2012,261912.2,34720.0,7543.554147465438
Nevada,2012,481733.8,27000.0,17841.992592592593
New Hampshire,2012,490720.9,28950.0,16950.635578583766
New Jersey,2012,2166953.3,181480.0,11940.452391448092
New Mexico,2012,3378590.5,35310.0,95683.67318040215
New York,2012,4727246.9,321480.0,14704.637613537392
North Carolina,2012,1922260.1,167900.0,11448.839189994045
North Dakota,2012,88065.3,13120.0,6712.294207317073
Ohio,2012,3436330.7,,
Oklahoma,2012,449812.6,50420.0,8921.312971043235
Oregon,2012,632076.1,75780.0,8340.935603061494
