State,year,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e
South Dakota,2010,74,11150.0,6.63677130044843
Tennessee,2010,914,71850.0,12.720946416144745
Texas,2010,7503,451390.0,16.621989853563438
Utah,2010,1006,50830.0,19.79146173519575
Vermont,2010,642,12670.0,50.67087608524073
Virginia,2010,1602,255800.0,6.262705238467553
Washington,2010,5240,186210.0,28.140271736211805
West Virginia,2010,120,17070.0,7.0298769771529
Wisconsin,2010,1829,99240.0,18.43006852075776
Wyoming,2010,80,8260.0,9.685230024213075
Puerto Rico,2010,26,20850.0,1.2470023980815348
United States,2011,108116,5794980.0,18.656837469672027
Alabama,2011,367,70290.0,5.221226347986912
Alaska,2011,30,15680.0,1.913265306122449
Arizona,2011,1998,115330.0,17.324200121390792
Arkansas,2011,138,29350.0,4.701873935264055
California,2011,28063,800430.0,35.059905300900766
Colorado,2011,2082,144750.0,14.38341968911917
Connecticut,2011,1916,76550.0,25.029392553886346
Delaware,2011,436,22430.0,19.438252340615247
District of Columbia,2011,97,62660.0,1.5480370252154483
Florida,2011,3055,244970.0,12.4709148058946
Georgia,2011,1946,147820.0,13.164659721282641
Hawaii,2011,93,20100.0,4.626865671641791
Idaho,2011,1041,25950.0,40.115606936416185
Illinois,2011,3796,204420.0,18.569611583993737
Indiana,2011,1457,93640.0,15.559589918838103
Iowa,2011,807,48930.0,16.492949110974862
Kansas,2011,685,51530.0,13.293227246264312
Kentucky,2011,473,51990.0,9.097903442969802
Louisiana,2011,318,42760.0,7.436856875584659
Maine,2011,175,17490.0,10.005717552887363
Maryland,2011,1500,173020.0,8.669517974800602
Massachusetts,2011,5131,220670.0,23.25191462364617
Michigan,2011,3922,188380.0,20.819619917188664
Minnesota,2011,3855,130340.0,29.576492251035756
Mississippi,2011,156,23440.0,6.6552901023890785
Missouri,2011,880,106930.0,8.2296829701674
Montana,2011,99,14960.0,6.617647058823529
Nebraska,2011,209,33800.0,6.183431952662722
Nevada,2011,554,28370.0,19.527670074021856
New Hampshire,2011,750,29260.0,25.63226247436774
New Jersey,2011,3814,182210.0,20.931891773228692
New Mexico,2011,396,35520.0,11.14864864864865
New York,2011,6914,310510.0,22.266593668480887
North Carolina,2011,2673,161880.0,16.512231282431433
