State,year,fed-rd-obligations-dollar-thous,individuals-se-occupations,fed-rd-obligations-by-indiv-se-,patents-awarded,individuals-in-se-occupations,patents-pe-1000-individuals-s&e,foreign-born-workers-se-occ,all-workers-in-se-occupations,perc-foreign-born-se-workers,rd-performed-dollar-millions,state-gdop-dollar-millions,rd-perform-perc-of-gdp
Missouri,2005,4201656.0,92260.0,45541.46975937568,640.0,92260.0,6.936917407327119,7965.0,85890.0,9.27348934683898,3627.0,227971.0,1.5909918366809814
Montana,2005,182053.0,11940.0,15247.319932998324,97.0,11940.0,8.12395309882747,595.0,13190.0,4.510993176648976,318.0,30876.0,1.0299261562378548
Nebraska,2005,193069.0,31530.0,6123.342848081193,175.0,31530.0,5.550269584522677,2470.0,25895.0,9.538520949990344,800.0,74565.0,1.0728894253336017
Nevada,2005,593264.0,24400.0,24314.09836065574,379.0,24400.0,15.532786885245905,3650.0,24535.0,14.87670674546566,614.0,116166.0,0.5285539658764182
New Hampshire,2005,513830.0,26840.0,19144.187779433683,498.0,26840.0,18.55439642324888,4730.0,35430.0,13.350268134349422,1776.0,56953.0,3.1183607536038487
New Jersey,2005,2524843.0,174270.0,14488.110403397026,2510.0,174270.0,14.40293796981695,75730.0,198135.0,38.22141469200293,14900.0,435737.0,3.41949386900814
New Mexico,2005,3593366.0,32530.0,110463.14171533968,266.0,32530.0,8.177067322471565,3550.0,34725.0,10.223182145428366,5265.0,73911.0,7.123432236067703
New York,2005,5320079.0,289010.0,18407.940901698905,4694.0,289010.0,16.241652537974467,76575.0,286385.0,26.73848141487857,14103.0,1016038.0,1.388038636350215
North Carolina,2005,1806115.0,134290.0,13449.363318191972,1600.0,134290.0,11.914513366594685,15840.0,141090.0,11.226876461832871,7329.0,355470.0,2.061777365178496
North Dakota,2005,117921.0,9070.0,13001.212789415657,76.0,9070.0,8.379272326350605,205.0,7990.0,2.5657071339173965,285.0,24700.0,1.153846153846154
Ohio,2005,2961450.0,180900.0,16370.646766169157,2323.0,180900.0,12.841348811498063,21960.0,184960.0,11.872837370242214,8267.0,468892.0,1.7630925671583222
Oklahoma,2005,400746.0,46370.0,8642.354970886348,406.0,46370.0,8.755660987707568,3435.0,40060.0,8.574638042935597,814.0,125082.0,0.6507730928510898
Oregon,2005,650069.0,62030.0,10479.912945349024,1632.0,62030.0,26.30985007254554,11735.0,70190.0,16.71890582704089,3920.0,143508.0,2.7315550352593583
Pennsylvania,2005,3677377.0,204270.0,18002.5309639203,2332.0,204270.0,11.416262789445344,26315.0,206035.0,12.77210182735943,11916.0,511731.0,2.328567157354157
Rhode Island,2005,888779.0,18080.0,49158.13053097345,258.0,18080.0,14.26991150442478,3130.0,22565.0,13.871039220031022,1990.0,44374.0,4.484608103844594
